;Date;Modele;win_size;num_cell;num_epoch;batch_size;dropout;rsme;train_duration(s);IC_train;IC_test;rmse_train-scale;rmse_test_scale;rmse_train;rmse_test
0;19/08/2023 22:04;M0;60;50;100;64;0.5;0.0488;43;0.9975;0.965;0.017;0.0488;46.25;74.47
1;19/08/2023 22:13;M0;100;100;150;10;0.2;0.0323;917;0.999;0.983;0.0096;0.0323;25.94;50.44
2;19/08/2023 22:59;LSTM_M4;60;50;100;64;0.5;0.0511;323;0.9979;0.9642;0.0552;0.0637;149.7;97.18
3;19/08/2023 23:33;M1;60;50;100;64;0.5;0.0488;93;0.9981;0.9664;0.0166;0.0524;44.91;79.93
4;19/08/2023 23:45;LSTM_M3;60;50;100;64;0.5;0.0438;110;0.9982;0.9718;0.0166;0.0463;44.91;70.74
5;19/08/2023 23:59;BI_LSTM;60;50;100;64;0.5;0.0616;110;0.9972;0.9469;0.0172;0.0616;46.59;94.1
6;20/08/2023 00:05;GRU_M0;60;50;100;64;0.5;0.033;84;0.999;0.9827;0.0095;0.0333;25.65;50.76
7;20/08/2023 00:09;GRU_M0;60;50;100;64;0.5;0.0317;188;0.9991;0.9845;0.0104;0.0322;28.15;49.17
8;20/08/2023 00:21;GRU_M4;60;50;100;64;0.5;0.0319;180;0.999;0.9838;0.0113;0.0333;30.55;50.85
9;20/08/2023 00:44;GRU_opti;100;100;150;10;0.2;0.0308;265;0.9991;0.9845;0.0092;0.0308;24.92;47.99
